T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,action,reward,_T0,_T1,_T2,_T3,_T4,_T5,_T6,_T7,_T8,_T9,_T10,_T11,_T12,_T13,_T14,_T15,_F0,_F1,_F2,_F3,_F4,_F5,_F6,_F7,_F8,_F9,_F10,_F11,_F12,_F13,_F14,_F15
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,0,1,1,1,1,1,2,0,1,1,1,2,1,10,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,10,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,0
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,0,1,-1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,7,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,2,2,1,1,1,2,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,1,1,1,2,2,1,1,1,2,0,1,1,1,1,1,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,1,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,1,2,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,1,2,1,0,1,1,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,1,1,2,2,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,2,1,1,2,2,1,1,1,1,1,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1
